chapter_1915,C01,C02,C03,C04,C05,C06
C00,0.03048780487804878,0.03260869565217391,0.023474178403755867,0.018867924528301886,0.01910828025477707,0.02564102564102564
C01,0.06965174129353234,0.056338028169014086,0.14285714285714285,0.0625,0.07142857142857142,0.2
C02,0.06060606060606061,0.06153846153846154,0.25,0.06666666666666667,0.08695652173913043,0.06818181818181818
C03,0.06567164179104477,0.046511627906976744,0.07377049180327869,0.06299212598425197,0.049586776859504134,0.07142857142857142
C04,0.064,0.041666666666666664,0.08823529411764706,0.05714285714285714,0.0625,0.07692307692307693
C05,0.07692307692307693,0.075,0.16666666666666666,0.06896551724137931,0.05454545454545454,0.07142857142857142
C06,0.04680851063829787,0.05405405405405406,0.25,0.05172413793103448,0.05102040816326531,0.09090909090909091
C07,0.1,0.046153846153846156,0.06875,0.05,0.043478260869565216,0.06285714285714286
C08,0.05747126436781609,0.05755395683453238,0.15384615384615385,0.05555555555555555,0.06451612903225806,0.08064516129032258
C09,0.046875,0.04,0.0625,0.039473684210526314,0.05,0.04201680672268908
C10,0.058823529411764705,0.06896551724137931,0.07894736842105263,0.07142857142857142,0.09090909090909091,0.05063291139240506
C11,0.058823529411764705,0.03076923076923077,0.04819277108433735,0.05555555555555555,0.05172413793103448,0.07692307692307693
C12,0.05319148936170213,0.04716981132075472,0.06349206349206349,0.07142857142857142,0.0707070707070707,0.0975609756097561
C13,0.06756756756756757,0.038461538461538464,0.1,0.07407407407407407,0.08045977011494253,0.3076923076923077
C14,0.07407407407407407,0.039473684210526314,0.125,0.08333333333333333,0.06329113924050633,0.25
C15,0.041666666666666664,0.033707865168539325,0.06896551724137931,0.03225806451612903,0.038461538461538464,0.058823529411764705
C16,0.07627118644067797,0.03968253968253968,0.08139534883720931,0.07407407407407407,0.04819277108433735,0.09090909090909091
C17,0.05714285714285714,0.03418803418803419,0.05405405405405406,0.0821917808219178,0.047058823529411764,0.05660377358490566
C18,0.05660377358490566,0.03636363636363636,0.04081632653061224,0.04524886877828054,0.041666666666666664,0.07407407407407407
C19,0.06666666666666667,0.047619047619047616,0.06666666666666667,0.058823529411764705,0.07142857142857142,0.058823529411764705
C20,0.05263157894736842,0.032,0.053763440860215055,0.05286343612334802,0.05357142857142857,0.06542056074766354
C21,0.25,0.05,0.125,0.08333333333333333,0.06930693069306931,0.14285714285714285
C22,0.056074766355140186,0.04040404040404041,0.07142857142857142,0.043478260869565216,0.05102040816326531,0.14285714285714285
C23,0.059602649006622516,0.046875,0.07547169811320754,0.042735042735042736,0.04918032786885246,0.1111111111111111
C24,0.04918032786885246,0.03614457831325301,0.08695652173913043,0.043478260869565216,0.03508771929824561,0.047619047619047616
C25,0.04950495049504951,0.047619047619047616,0.06796116504854369,0.04526748971193416,0.05555555555555555,0.06976744186046512
C26,0.06666666666666667,0.05660377358490566,0.058823529411764705,0.07692307692307693,0.058823529411764705,0.10714285714285714
C27,0.04093567251461988,0.03333333333333333,0.08571428571428572,0.0425531914893617,0.058823529411764705,0.08333333333333333
C28,0.038461538461538464,0.019417475728155338,0.057692307692307696,0.0392156862745098,0.030303030303030304,0.07407407407407407
