section_id,C01-S01,C01-S02,C02-S01,C02-S02,C03-S01,C03-S02,C03-S03,C03-S04,C04-S01,C04-S02,C04-S03,C05-S01,C05-S02,C05-S03,C05-S04,C05-S05,C05-S06,C05-S07,C06-S01,C06-S02,C06-S03,C06-S04,C06-S05,C06-S06,C06-S07
C01,0.06506457911298033,0.05277647236769996,0.02578698778630075,0.048057535374971545,0.0,0.01126001741154509,0.027864745356192412,0.035758911854569864,0.008761934008283796,0.037338180945552114,0.015634571612297525,0.05806565736613714,0.005112234707098852,0.0,0.01691371626694489,0.007379875429117472,0.013440385628937292,0.007943985757636458,0.01633371957582032,0.01486416384231595,0.017039117651570828,0.0186410803982453,0.012547570371454196,0.0529477251312628,0.022452844010895184
C02-S01,0.07125192113900539,0.09978335828965426,0.038993637503352725,0.039602912523970094,0.011381409087983256,0.012252115936053153,0.07884265148009331,0.26058511361651404,0.018312515592842787,0.03688301105141545,0.038848512944875506,0.04218866766752513,0.018373701224255776,0.027759871732974364,0.019758070534615414,0.03165001120027366,0.05578185796813532,0.02437324171965501,0.031716279965122954,0.0579118870647794,0.07372667469751186,0.029215085576325642,0.04833279007788572,0.10595080874665318,0.046003842113782556
C02-S02,0.10020503090171423,0.18766581684763903,0.08621327918694954,0.05522288187772963,0.020343429082835915,0.02246247350965856,0.10416636228797586,0.10688388683834824,0.05512354429145095,0.0442202227978257,0.04800479166924708,0.11463687181322858,0.05606569486205817,0.008047347968934174,0.03586748754870228,0.023820709411136474,0.05414934606219054,0.053663940387121724,0.043546623517671336,0.04876830345546784,0.08211501780022054,0.0954628196351421,0.08194862972362438,0.2076059760121727,0.13075420943219282
C02-S03,0.0967380161328503,0.20819021655775533,0.11738700167551606,0.058299761680730075,0.003763246035087789,0.03186856148122115,0.0630320010455951,0.17061370726615932,0.057109916591680215,0.08231638237312017,0.13270271082709703,0.09402876013130028,0.031088489600073918,0.08038161572212833,0.051849215720188364,0.08983915302891003,0.03662855158066552,0.02956870279852082,0.03854027643654303,0.028519448929360126,0.019909923961817108,0.020187679951098964,0.0851272591732823,0.22943722130312327,0.055468223844395
C03,0.1280642904565156,0.07564770861332516,0.14365565805765973,0.07949640481979452,0.05815842862837808,0.05777073722674168,0.19060461191706618,0.5331659215305963,0.15163441673832873,0.12871501699141424,0.12602968869442477,0.11867643034301056,0.05968202468395816,0.17355628871231185,0.10791686484294886,0.024973922448020294,0.12665081588032123,0.10956679944253307,0.09311017258600435,0.0899270129868883,0.06874927782193846,0.05647926271746701,0.06651256655288412,0.11775955417472105,0.11115943417502308
C04,0.07431809626453989,0.14421504143033975,0.08282326619627149,0.07434955602316183,0.03325265442114617,0.04116012774263701,0.12186821532530949,0.30170090313205433,0.3927032146435877,0.056855437235814085,0.1126830310213935,0.03926478443727515,0.07850775244822092,0.11838327585305786,0.08579615749100811,0.02523639813916974,0.1379701939563429,0.07890674162703899,0.05415279809171606,0.08374223138264347,0.20392273924275875,0.06885877057442015,0.11750322731409707,0.13724416653631843,0.12092984526205733
C05,0.12348873480558228,0.09587481482067514,0.04250975713878384,0.02870398455458136,0.027087253092302466,0.024916984132531298,0.20875372258557892,0.45943166470161056,0.41886880031049023,0.13496826918921095,0.08977068851056552,0.058117403129941445,0.121360088432754,0.14386029233112652,0.0712656884481348,0.03969982396500719,0.2807437537227269,0.058391374243940745,0.04809984733506317,0.09043686074465948,0.2249483683485283,0.12122245711687848,0.12836306914780965,0.10806328547591944,0.3234500214706289
C06,0.11440839658083192,0.12508767746401628,0.1536340722013092,0.10299922849867602,0.05551195717709345,0.055141907487080574,0.1997185227881443,0.48532412603986436,0.29579274476045353,0.07789120915339175,0.14208685842706328,0.10036686605430138,0.07982180896154731,0.07743956779263154,0.10988152179321542,0.10503229995783626,0.29127914392620113,0.06387478967516538,0.06059123395433596,0.0979338204595682,0.2315645374548855,0.09176856307106672,0.10137068295020729,0.20884684590808086,0.24763310231735264
C07,0.05869222617977985,0.14746006872415673,0.07712360137707379,0.019117357886487975,0.04111242730789595,0.026654118448285836,0.15932765115729286,0.6347553723647748,0.17874728926634983,0.14216495825184183,0.21252544574038246,0.10359046668160768,0.07483919524917973,0.05248354323808021,0.09158343818936054,0.08498496724817133,0.26222871237294787,0.12952538496370652,0.04509003709244719,0.183514222984574,0.24150972551167857,0.0774572306257123,0.12228339326064423,0.11888630686011749,0.2495508353777054
C08,0.24223582450459052,0.12696511880705708,0.054424608643283384,0.037626336996422115,0.022186731824024523,0.02203883227856827,0.1600778757599806,0.3487420031829175,0.10777777891134796,0.08010465766686804,0.09743468948120058,0.05691438149992117,0.033413942490659,0.04853896347485924,0.05031751383266208,0.06490391718884243,0.2051523735478806,0.04659769276782111,0.08637441900911084,0.0955932658105506,0.09217601058270766,0.06533760483942165,0.08632561980331824,0.0787353421611055,0.1167739161042327
