word,count,rel_freq_permille,rank,source
人乃天,173,10.902,1,1924
生命,138,8.697,2,1924
自己,137,8.634,3,1924
人類,135,8.508,4,1924
無窮,125,7.877,5,1924
生活,121,7.625,6,1924
時代,91,5.735,7,1924
進化,90,5.672,8,1924
大神師,90,5.672,9,1924
自然,89,5.609,10,1924
宗敎,84,5.294,11,1924
宗敎的,74,4.663,12,1924
世界,70,4.411,13,1924
宇宙,69,4.348,14,1924
信仰,66,4.159,15,1924
理想,65,4.096,16,1924
意識,64,4.033,17,1924
組織,63,3.97,18,1924
自由,62,3.907,19,1924
萬有,62,3.907,20,1924
意味,59,3.718,21,1924
存在,58,3.655,22,1924
行爲,56,3.529,23,1924
吾人,56,3.529,24,1924
精神,55,3.466,25,1924
天道,52,3.277,26,1924
創造的,51,3.214,27,1924
目的,50,3.151,28,1924
創造,49,3.088,29,1924
實在,49,3.088,30,1924
眞理,48,3.025,31,1924
意志,48,3.025,32,1924
物質,46,2.899,33,1924
本能,45,2.836,34,1924
原因,45,2.836,35,1924
以上,43,2.71,36,1924
觀念,43,2.71,37,1924
同一,41,2.584,38,1924
天國,40,2.521,39,1924
大槪,39,2.458,40,1924
境涯,39,2.458,41,1924
今日,39,2.458,42,1924
事實,38,2.395,43,1924
幸福,38,2.395,44,1924
如斯,38,2.395,45,1924
表顯,38,2.395,46,1924
本來,38,2.395,47,1924
過去,38,2.395,48,1924
關係,37,2.332,49,1924
思想,37,2.332,50,1924
敎化,36,2.269,51,1924
原理,35,2.206,52,1924
思考,35,2.206,53,1924
良心,34,2.143,54,1924
如何,34,2.143,55,1924
問題,34,2.143,56,1924
基督敎,33,2.08,57,1924
精神的,33,2.08,58,1924
神秘,33,2.08,59,1924
永生,32,2.017,60,1924
區別,32,2.017,61,1924
建設,32,2.017,62,1924
制度,32,2.017,63,1924
要素,31,1.954,64,1924
作用,30,1.891,65,1924
運動,30,1.891,66,1924
新社會,30,1.891,67,1924
程度,29,1.828,68,1924
發見,29,1.828,69,1924
必要,28,1.765,70,1924
肉體,28,1.765,71,1924
現在,28,1.765,72,1924
苦痛,28,1.765,73,1924
天道敎,28,1.765,74,1924
部分,28,1.765,75,1924
無限,27,1.702,76,1924
社會,27,1.702,77,1924
現代,27,1.702,78,1924
過程,27,1.702,79,1924
平等,26,1.639,80,1924
畢竟,26,1.639,81,1924
生物,26,1.639,82,1924
萬一,26,1.639,83,1924
階級,26,1.639,84,1924
世上,26,1.639,85,1924
一言,25,1.575,86,1924
發達,25,1.575,87,1924
神性,25,1.575,88,1924
各其,25,1.575,89,1924
全宇宙,25,1.575,90,1924
包容,25,1.575,91,1924
差別,24,1.512,92,1924
天地,24,1.512,93,1924
第一,24,1.512,94,1924
自我,24,1.512,95,1924
認定,23,1.449,96,1924
勿論,23,1.449,97,1924
崇拜,23,1.449,98,1924
解釋,22,1.386,99,1924
全體,22,1.386,100,1924
修煉,21,1.323,101,1924
偉大,21,1.323,102,1924
敎訓,21,1.323,103,1924
虛僞,21,1.323,104,1924
完全,21,1.323,105,1924
超越,21,1.323,106,1924
所謂,21,1.323,107,1924
解脫,21,1.323,108,1924
個性,21,1.323,109,1924
否認,21,1.323,110,1924
消滅,20,1.26,111,1924
統一力,20,1.26,112,1924
佛敎,20,1.26,113,1924
要求,20,1.26,114,1924
動物,20,1.26,115,1924
元來,20,1.26,116,1924
呪文,20,1.26,117,1924
人乃天主義,20,1.26,118,1924
連帶性,20,1.26,119,1924
運命,20,1.26,120,1924
個體,19,1.197,121,1924
敎理,19,1.197,122,1924
現象,19,1.197,123,1924
興味,19,1.197,124,1924
方法,19,1.197,125,1924
努力,19,1.197,126,1924
細胞,19,1.197,127,1924
未來,19,1.197,128,1924
價値,19,1.197,129,1924
根本,19,1.197,130,1924
心理,19,1.197,131,1924
父母,19,1.197,132,1924
害惡,19,1.197,133,1924
統一,18,1.134,134,1924
實行,18,1.134,135,1924
當然,18,1.134,136,1924
破壞,18,1.134,137,1924
靈魂,18,1.134,138,1924
