series_index,publish_date,tonggwon,section,title,page_in_journal,n_pages_journal_total,cnts_id,downloaded_pages,downloaded_bytes,partial
1,1911-01-15,6,講演,勸誘天下失樂者,25,60,CNTS-00048033199,3,757627,N
2,1911-04-15,9,講演,信念의 神聖,26,56,CNTS-00048060752,3,661296,N
3,1911-06-15,11,講演,宗敎統一은 自然의 勢,27,70,CNTS-00048060778,3,757751,N
4,1911-07-15,12,敎理部,人乃天,10,65,CNTS-00048060783,3,780511,N
5,1911-08-15,13,敎理部,觀感說,30,71,CNTS-00048033772,4,1070690,N
6,1911-09-15,14,敎理部,還人欲이라야 眞樂生이오 眞樂이라야 世界得幸福이라,14,59,CNTS-00048047533,4,1026691,N
7,1911-10-15,15,講演,大雄無畏觀,23,70,CNTS-00048074995,5,1266540,N
8,1911-11-15,16,講演,因果의 神案,24,71,CNTS-00048033811,4,960643,N
9,1911-12-15,17,講演,運命說,29,70,CNTS-00048075020,3,713845,N
10,1912-01-15,18,講演,新年에 對ᄒᆞᆫ 新感想으로 新發明을 公告言,19,71,CNTS-00048061346,4,935349,N
11,1912-02-15,19,講演,死後問題,21,72,CNTS-00048033844,6,1501073,N
12,1912-03-15,20,講演,我觀人生,32,71,CNTS-00048033855,6,1445692,N
13,1912-04-15,21,敎理部,宇宙說,9,70,CNTS-00048033863,4,923390,N
14,1912-05-15,22,講演,自修喻人의 解,25,67,CNTS-00048075088,3,756172,N
15,1912-06-15,23,敎理部,東經大全要旨講解,9,68,CNTS-00048075104,4,1003451,N
16,1912-07-15,24,敎理部,東經大全要旨講解(續),7,61,CNTS-00048075115,4,969279,N
17,1912-09-15,26,敎理部,東經要旨講解(續),14,65,CNTS-00048075139,4,993893,N
18,1912-12-15,29,敎理部,靈通力의 事實됨을 解明言(續),12,72,CNTS-00048033953,5,1233701,N
19,1913-01-15,30,雜俎,理想中新光陰,37,67,CNTS-00048075206,3,711763,N
20,1913-02-15,31,雜俎,光의 說,34,70,CNTS-00048061495,5,1274023,N
21,1913-03-15,32,講演,默念中三我,24,66,CNTS-00048075223,2,529152,N
22,1913-08-15,37,敎門訂議,紀念과 余의 告白,6,70,CNTS-00048077949,6,1526114,N
23,1914-01-15,42,敎理部,個性中心說,15,55,CNTS-00048050609,3,711411,N
24,1914-03-15,44,敎門訂議,定州郡敎區室實記,4,64,CNTS-00048064297,5,1172817,N
25,1914-04-15,45,雜俎,吊孫鳳奎文幷小引,32,67,CNTS-00048064313,3,724089,N
26,1914-05-15,46,雜俎,韓錫泰君追悼會席에서,28,60,CNTS-00048050664,3,714043,N
27,1914-08-15,49,雜俎,定州로 붓터 高原에,32,67,CNTS-00048078073,4,965807,N
28,1914-10-15,51,雜俎,余의 暗遊,28,63,CNTS-00048051116,3,736907,N
29,1914-11-15,52,敎理部,真理의 根底를 誤解치 勿하라,7,67,CNTS-00048064794,5,1167875,N
30,1915-05-15,58,講演,最高消遣法,25,74,CNTS-00048064840,3,660342,N
31,1915-06-15,59,雜俎,篤心者의 精靈不滅,38,78,CNTS-00048078602,3,702647,N
32,1915-08-15,61,敎理部,人生은 神에 出ᄒᆞ야 神에 歸言故로 人生의 目的은 道를 覺홈에 在함,12,75,CNTS-00048078620,7,1780799,N
33,1915-09-15,62,雜俎,金剛山追憶大神師,34,72,CNTS-00048051212,3,697411,N
34,1915-10-15,63,講演,大宇宙之戀愛,26,74,CNTS-00048051218,3,758056,N
35,1917-01-15,78,敎門訂議,人生과 新年,5,70,CNTS-00048078754,3,684042,N
36,1917-11-15,88,敎理部,是我修養,10,67,CNTS-00048065094,3,789139,N
37,1917-12-15,89,敎門訂議,吾敎의 大宗,2,64,CNTS-00048051447,7,1845316,N
38,1918-01-15,90,敎門訂議,新年과 人生,5,71,CNTS-00048037653,3,759592,N
39,1918-02-15,91,敎理部,宗敎의 兩側面,9,81,CNTS-00048078878,3,855515,N
40,1918-03-15,92,講演,信仰上으로 觀ᄒᆞᆯ 吾人의 努力,18,88,CNTS-00048078891,5,1242418,N
41,1918-05-15,94,敎門訂議,兩道師巡回와 關北敎友,8,92,CNTS-00048037691,5,1398259,N
42,1918-07-15,95,敎理部,大神師性靈出世說(其一),10,82,CNTS-00048065154,5,1141336,N
43,1918-09-15,97,雜俎,追悼香山文,37,86,CNTS-00048065182,3,653373,N
44,1918-12-18,100,敎門訂議,百號紀念에 對ᄒᆞᆫ 余의 感想,9,179,CNTS-00048037751,5,1117063,N
45,1919-01-15,101,敎門訂議,新年元旦,8,86,CNTS-00048037771,5,1178058,N
46,1919-02-15,102,敎門訂議,將來의 宗敎,1,98,CNTS-00048051596,6,1303100,N
47,1919-03-15,103,敎理部,我觀東經,14,79,CNTS-00048079000,5,1092308,N
48,1919-04-15,104,敎理部,靈通說,24,86,CNTS-00048065272,5,1167944,N
49,1919-05-15,105,敎理部,默念論(續),11,89,CNTS-00048079021,7,1576033,N
50,1919-06-15,106,敎門訂議,眞實된 信仰生活,1,91,CNTS-00048079026,8,1719460,N
51,1919-07-15,107,敎門訂議,愛의 開放,6,84,CNTS-00048037824,5,973371,N
52,1919-09-15,109,敎門訂議,自覺ᄒᆞ야써 其根에 歸ᄒᆞ라,1,92,CNTS-00048037837,6,1138710,N
53,1919-10-15,110,敎門訂議,今日以後의 宗敎,2,99,CNTS-00048037846,5,1092587,N
54,1919-11-15,111,敎門訂議,十月二十八日大祈禱,2,102,CNTS-00048051660,5,1052844,N
55,1919-12-15,112,敎門訂議,改造와 宗敎,4,104,CNTS-00048065323,5,1061390,N
56,1920-01-15,113,敎門訂議,天道敎六十一歲花甲庚申을 迎喜,7,124,CNTS-00048065337,6,1056938,Y
57,1920-02-15,114,敎門訂議,天道敎靑年臨時敎理講習會에 就하야,1,108,CNTS-00048079093,6,1173971,N
58,1920-04-15,116,,庚申四月五日,3,146,CNTS-00048065358,6,1527492,N
59,1920-05-15,117,敎門訂議,哲人主義의 將來와 新宗敎의 價値,8,114,CNTS-00048037930,5,1103922,N
60,1920-06-15,118,,自己解放과 人乃天主義,1,103,CNTS-00048065377,8,1680314,N
61,1920-07-15,119,,自己解放과 人乃天主義(續),1,108,CNTS-00048079146,5,1006608,N
62,1920-08-15,120,,十週年,1,121,CNTS-00048051778,9,1812105,N
63,1920-09-15,121,,오로지 法門에 依信하라,1,110,CNTS-00048037962,8,1641114,N
64,1920-10-15,122,,布德天下는 活誠에 在하니라,7,109,CNTS-00048037974,5,1052333,N
65,1920-11-15,123,,拘束의 宗敎로부터 自由의 宗敎,1,102,CNTS-00048079183,8,1747977,N
66,1921-02-15,126,,布德天下,1,112,CNTS-00048065445,8,1835346,N
67,1921-03-15,127,,同歸一體,1,122,CNTS-00048079209,7,1444087,N
68,1921-06-15,130,,사람性의 無窮을 論하노라(續),1,114,CNTS-00048079229,5,1183016,N
69,1921-07-15,131,,新文化는 무엇에 依하야 建設되랴,1,106,CNTS-00048038033,5,1098261,N
70,1921-12-15,136,,中國 北京의 傳敎室 問題를 둣고 吾敎의 對外 發展을 賀함,12,108,CNTS-00048079251,6,1393135,N
71,1922-01-15,137,,新紀元을 劃한 우리敎의 新面目,10,123,CNTS-00048051863,6,1425197,N
72,1922-02-15,138,,進化의 側面으로 본 人乃天,8,106,CNTS-00133846655,5,1647330,N
73,1922-03-15,139,,信仰 觀念의 本體,8,112,CNTS-00048065516,8,2115780,N
74,1922-04-15,140,,信仰 觀念의 本體(續),15,101,CNTS-00048051884,6,1278332,N
75,1922-05-15,141,,宗教의 六大 要素,10,104,CNTS-00048065528,3,718657,N
76,1912-08-15,25,敎理部,東經大全要旨講解(續),12,0,,3,716298,N
77,1912-10-15,27,敎理部,靈通力이 事實됨을 解明言,11,0,,8,2015339,N
78,1913-04-15,33,敎理部,靈性的 生活,8,0,,4,1041628,N
79,1918-08-15,96,敎理部,大神師性靈出世說(其二),14,0,,4,904466,N
80,1918-09-15,97,敎理部,大神師性靈出世說(其三),16,0,,3,699607,N
81,1918-10-15,98,敎理部,大神師性靈出世說(其四),14,0,,4,1062410,N
82,1918-11-15,99,敎理部,大神師性靈出世說(其五),16,0,,3,644262,N
83,1920-03-15,115,敎門訂議,現代思潮와 事人如天主義,1,0,,7,1427420,N
84,1920-12-15,124,,年齡論,22,0,,7,1509224,N
85,1921-04-15,128,,사람性의 無窮을 論하노라,1,0,,6,1351634,N
86,1921-11-15,135,,"우리時代의 創造事業, 目下의 急先務를 提案함",9,0,,6,1211585,N
